Utterance,Emotion,Dialogue_ID,Utterance_ID,Speaker,source
"Really ? I ’ m very surprised . He doesn ’ t look like a guy who ’ d ever do that sort of thing , right ?",surprise,dailydialog_38,0,Speaker,dailydialog
"Yeah , that's her . We had a lot of wonderful times together . She is really a special friend , and I want to get her something meaningful .",neutral,dailydialog_39,0,Speaker,dailydialog
"It was great . The director took a lot of care while framing . They say be has good chance at winning the Oscar for best director . Also I like the actors , some really great new young actors .",joy,dailydialog_40,0,Speaker,dailydialog
Cool ! What brand,joy,dailydialog_41,0,Speaker,dailydialog
"No problem . Anything else , sir ?",neutral,dailydialog_42,0,Speaker,dailydialog
"Hello , could I speak to Mr . Wang , please ?",neutral,dailydialog_43,0,Speaker,dailydialog
Ok by me .,joy,dailydialog_44,0,Speaker,dailydialog
"OH , This is the famous Emperor Palace building .",joy,dailydialog_45,0,Speaker,dailydialog
I feel so tired .,sadness,dailydialog_46,0,Speaker,dailydialog
Of course I know . I just can't see it very well .,neutral,dailydialog_47,0,Speaker,dailydialog
"I have been very busy this year , working late , often taking work home and taking no vacation . I feel exhausted .",disgust,dailydialog_48,0,Speaker,dailydialog
Have you tried the Internet ?,neutral,dailydialog_49,0,Speaker,dailydialog
"Never mind , it doesn't matter .",joy,dailydialog_50,0,Speaker,dailydialog
Oh ? What happened ?,surprise,dailydialog_51,0,Speaker,dailydialog
Yep . And relive those good old high school days .,neutral,dailydialog_52,0,Speaker,dailydialog
I love to dance the fast music .,joy,dailydialog_53,0,Speaker,dailydialog
what are your strong points ?,neutral,dailydialog_54,0,Speaker,dailydialog
"Actually , I could use some help . Thank you so much .",joy,dailydialog_55,0,Speaker,dailydialog
"Yep . Every country in the world has a different system , but here we buy insurance from a private provider .",neutral,dailydialog_56,0,Speaker,dailydialog
"To be frank , not very much , because I can ’ t use much what I ’ Ve learned in my work . I enjoy doing more challenging work .",neutral,dailydialog_57,0,Speaker,dailydialog
I'm afraid I haven't got a larger dress . This is the largest dress in the shop .,neutral,dailydialog_58,0,Speaker,dailydialog
Depends .,neutral,dailydialog_59,0,Speaker,dailydialog
"Oh , God . I've almost forgotten . I'll get it done right away .",neutral,dailydialog_60,0,Speaker,dailydialog
I can't wash at home because my machine is broken .,neutral,dailydialog_61,0,Speaker,dailydialog
Who composed it for your ?,neutral,dailydialog_62,0,Speaker,dailydialog
"Oh , this ? I got it in Singapore . Here , do you want to take a look ?",neutral,dailydialog_63,0,Speaker,dailydialog
I start next Monday .,neutral,dailydialog_64,0,Speaker,dailydialog
"Hello . I'm here to talk about my credit card . You see , I'm a corporate card holder and a personal card holder . I've had my personal credit card for ages , but my corporate one is new to me .",neutral,dailydialog_65,0,Speaker,dailydialog
"well , now that I know that , maybe we should all go out for dinner sometime .",joy,dailydialog_66,0,Speaker,dailydialog
Hi Sam .,neutral,dailydialog_67,0,Speaker,dailydialog
Yes ? Why not ?,neutral,dailydialog_68,0,Speaker,dailydialog
OK . Let's go .,joy,dailydialog_69,0,Speaker,dailydialog
Let ’ s go for a joy ride .,joy,dailydialog_70,0,Speaker,dailydialog
"Well , Mark Smith , who was the first president , founded the company in Ottawa in 1955 . It has 1.5 billion dollars in capital.it employs 8,000 people , and it is the largest company in its field in Canada .",neutral,dailydialog_71,0,Speaker,dailydialog
"Sure , I can take you there actually .",neutral,dailydialog_72,0,Speaker,dailydialog
Do you live with your family ?,neutral,dailydialog_73,0,Speaker,dailydialog
"Well , I had a meeting today with a woman from Japan and she wouldn't stop bowing ! I didn't know what to do !",neutral,dailydialog_74,0,Speaker,dailydialog
"Thanks , Carla . That's quite a compliment coming from you . You always dress so tastefully .",joy,dailydialog_75,0,Speaker,dailydialog
What case do you have against the police ?,neutral,dailydialog_76,0,Speaker,dailydialog
He told the police that Ted was the murderer .,neutral,dailydialog_77,0,Speaker,dailydialog
"Well , I am certainly going to take chemistry and physics , but I haven't decided on the other subjects yet . I'd like to take English .",neutral,dailydialog_78,0,Speaker,dailydialog
Now I know that something bad is up !,fear,dailydialog_79,0,Speaker,dailydialog
Thank you . I ’ Ve worked pretty hard to be able to list those accomplishments .,neutral,dailydialog_80,0,Speaker,dailydialog
What about Wi-fi ?,neutral,dailydialog_81,0,Speaker,dailydialog
"Your speech should not call attention to itself , but should reveal your individuality and ability .",neutral,dailydialog_82,0,Speaker,dailydialog
Really ! How fascinating .,surprise,dailydialog_83,0,Speaker,dailydialog
"I know , I know . But you always bat around without doing things useful .",neutral,dailydialog_84,0,Speaker,dailydialog
Not too tight in the waist ?,neutral,dailydialog_85,0,Speaker,dailydialog
Excellent . I ’ ll see you on Thursday at 9 30 .,joy,dailydialog_86,0,Speaker,dailydialog
"I know I deserve it , but I can not find a way to talk with boss about this .",neutral,dailydialog_87,0,Speaker,dailydialog
"I've got 6 packets of cigarettes and 2 bottles of champagne . Besides , I have two cameras , one is for my own use , and the other is a gift .",neutral,dailydialog_88,0,Speaker,dailydialog
"Mr . Carmichael , this is Ellen Bower calling again . You had said I should call this week to schedule an interview with you .",neutral,dailydialog_89,0,Speaker,dailydialog
Of course . Let me tell you in some detail about our idea.You know the popular Hello Kitty products .,neutral,dailydialog_90,0,Speaker,dailydialog
"Hello , do you know anywhere that sells cheap cashmere sweaters ?",neutral,dailydialog_91,0,Speaker,dailydialog
"Well , that's OK .",neutral,dailydialog_92,0,Speaker,dailydialog
I ’ m sorry . We must have misunderstood each other .,neutral,dailydialog_93,0,Speaker,dailydialog
"Good afternoon , Miss Qi .",neutral,dailydialog_94,0,Speaker,dailydialog
Are you kidding ? $ 100 for this big leather sofa ?,surprise,dailydialog_95,0,Speaker,dailydialog
Have you found anything yet ?,neutral,dailydialog_96,0,Speaker,dailydialog
"Yes , my friend Steve . I'll introduce you .",joy,dailydialog_97,0,Speaker,dailydialog
We got on the wrong bus .,neutral,dailydialog_98,0,Speaker,dailydialog
"wow ! No wonder people are so fat . Say , Carl , looks like you could be doing a bit more exercising .",surprise,dailydialog_99,0,Speaker,dailydialog
Thank you . Could you tell me the specials today ?,joy,dailydialog_100,0,Speaker,dailydialog
Me ? You're the one who pulled out in front of me !,surprise,dailydialog_101,0,Speaker,dailydialog
How large is the plant ?,neutral,dailydialog_102,0,Speaker,dailydialog
At 10:20,neutral,dailydialog_103,0,Speaker,dailydialog
I don't understand why you would do that .,surprise,dailydialog_104,0,Speaker,dailydialog
"Yes , I enjoyed it very much .",joy,dailydialog_105,0,Speaker,dailydialog
"No , really , it feels great .",joy,dailydialog_106,0,Speaker,dailydialog
"Well , are we going there today ? I want to take shots there .",joy,dailydialog_107,0,Speaker,dailydialog
I'm thinking of taking you and Peter swimming . What do you think ?,neutral,dailydialog_108,0,Speaker,dailydialog
"Please send this memo out to all the managerial staff ... there will be training for all the department heads next week . Attendance for managerial staff is mandatory , except for the financial department . Financial officers may participate if their schedules allow .",neutral,dailydialog_109,0,Speaker,dailydialog
I think you look fantastic . Happy Birthday !,joy,dailydialog_110,0,Speaker,dailydialog
"It sounds great , and is it really cool there ?",joy,dailydialog_111,0,Speaker,dailydialog
"No , I haven't . I'm awfully sorry . Can I send them to you ?",neutral,dailydialog_112,0,Speaker,dailydialog
Ok - let ’ s do that then !,joy,dailydialog_113,0,Speaker,dailydialog
It ’ s my pleasure . I enjoyed working with you .,joy,dailydialog_114,0,Speaker,dailydialog
You are always so hospitable .,joy,dailydialog_115,0,Speaker,dailydialog
It's 75 dollars plus tax .,neutral,dailydialog_116,0,Speaker,dailydialog
He's terribly handsome .,neutral,dailydialog_117,0,Speaker,dailydialog
Of course . I almost missed my own wedding .,neutral,dailydialog_118,0,Speaker,dailydialog
We are happy that we have established business relations . I really hope that we'll have more business to do and more opportunities to meet each other .,joy,dailydialog_119,0,Speaker,dailydialog
"Hey , honey I ’ m back . Wow , the house looks really good !",joy,dailydialog_120,0,Speaker,dailydialog
I hope you feel better .,neutral,dailydialog_121,0,Speaker,dailydialog
They are staying at the Hilton Hotel .,neutral,dailydialog_122,0,Speaker,dailydialog
OK . Put on something by the Backstreet Boys !,neutral,dailydialog_123,0,Speaker,dailydialog
"You mean , you like the pictures of the beautiful models ... Hello ?",neutral,dailydialog_124,0,Speaker,dailydialog
"Well , you should try my store . The prices are good .",joy,dailydialog_125,0,Speaker,dailydialog
This is not to say you have to carry all of these clubs . It depends on your preferences .,neutral,dailydialog_126,0,Speaker,dailydialog
Hello . This is Hamilton ’ s Heating and cooling service . Can I help you ?,neutral,dailydialog_127,0,Speaker,dailydialog
All right . Should I take a look at your battery ?,neutral,dailydialog_128,0,Speaker,dailydialog
We want to look at some of your products .,neutral,dailydialog_129,0,Speaker,dailydialog
Thanks a lot.here .,joy,dailydialog_130,0,Speaker,dailydialog
"That ’ s quite the array of nationalities . Everyone in my class is from Asia , except me . There are a few South Koreans , several Japanese , Malaysian , Thai , Singaporean , Filipino , Kazakhstan , and one Russian .",neutral,dailydialog_131,0,Speaker,dailydialog
Why don't you come round for a meal one evening next week ?,joy,dailydialog_132,0,Speaker,dailydialog
"I was told once that the more time you spend writing , the less you are paying attention and so you miss stuff .",neutral,dailydialog_133,0,Speaker,dailydialog
I am really pleased with it .,joy,dailydialog_134,0,Speaker,dailydialog
"Well , I'm setting my watch at four . Thank you .",joy,dailydialog_135,0,Speaker,dailydialog
"Oh ! I see . I'll have the paperback , please ,",neutral,dailydialog_136,0,Speaker,dailydialog
What ! Geez ! How could this have happened ? So what ’ s the bad news ?,surprise,dailydialog_137,0,Speaker,dailydialog
I may take you there some day .,joy,dailydialog_138,0,Speaker,dailydialog
That ’ s a good idea . She told me that she had bought plenty of food and snacks . I think it ’ s going to be a noisy party . I hope her neighbours don ’ t mind too much .,joy,dailydialog_139,0,Speaker,dailydialog
Don't panic ! We'll help you get out of the building safely .,neutral,dailydialog_140,0,Speaker,dailydialog
"Yes , we're all proud of her !",joy,dailydialog_141,0,Speaker,dailydialog
They're in Aisle Two .,neutral,dailydialog_142,0,Speaker,dailydialog
Would you like something to drink ? I've got tea and some grape juice .,joy,dailydialog_143,0,Speaker,dailydialog
"Thanks . Now , I have to find a job .",joy,dailydialog_144,0,Speaker,dailydialog
"Really ? Wow , it is great .",surprise,dailydialog_145,0,Speaker,dailydialog
"I really don't want to go into the world , I feel afraid of it .",neutral,dailydialog_146,0,Speaker,dailydialog
Thank you . You helped me a lot .,joy,dailydialog_147,0,Speaker,dailydialog
Sure . The color is perfect for you .,joy,dailydialog_148,0,Speaker,dailydialog
Now we have a two-year-old boy . We're very happy that he's healthy and smart .,joy,dailydialog_149,0,Speaker,dailydialog
Next time we are about to dinner we should try some Canadian ice wine .,joy,dailydialog_150,0,Speaker,dailydialog
I am looking for some information about home stay .,neutral,dailydialog_151,0,Speaker,dailydialog
"Sure , let's . Goodbye , then .",joy,dailydialog_152,0,Speaker,dailydialog
"Yes , she's almost equal to Celine Dion when she sings .",joy,dailydialog_153,0,Speaker,dailydialog
Thanks . I am all right . It's just my nose . It must be an allergy . Do you have any aspirin ? I have a terrible headache .,neutral,dailydialog_154,0,Speaker,dailydialog
Quit this company ? Oh ... wow .,surprise,dailydialog_155,0,Speaker,dailydialog
"Hello , I'd like to speak to Mike please .",neutral,dailydialog_156,0,Speaker,dailydialog
We work in teams . There are about four to six people in each team . I'm training to be a team leader . Each team member is responsible for the quality of the goods we produce . We are multi-skilled so we can rotate jobs . I like that . It stops the work getting boring .,neutral,dailydialog_157,0,Speaker,dailydialog
"Yes , of course . I can't wait to be there .",neutral,dailydialog_158,0,Speaker,dailydialog
A party ? Yes . I'd love to . Thank you for inviting me . Will Monica come ?,joy,dailydialog_159,0,Speaker,dailydialog
"Tom , you're my good friend , right ?",neutral,dailydialog_160,0,Speaker,dailydialog
"Forget it ! That's what friends are for ! Besides , I have a VIP card for a discount .",joy,dailydialog_161,0,Speaker,dailydialog
Once a week . Most nights I sit at home and watch telly,neutral,dailydialog_162,0,Speaker,dailydialog
Don ’ t do this ! Don ’ t do that ! You mustn ’ t do this ! You can ’ t do that !,anger,dailydialog_163,0,Speaker,dailydialog
Did you really ?,surprise,dailydialog_164,0,Speaker,dailydialog
"OK , you ’ ll need to reboot your machine . Press Control , Alt and Delete at the same time .",neutral,dailydialog_165,0,Speaker,dailydialog
"No problems , sir . Everything will be already when you come back .",neutral,dailydialog_166,0,Speaker,dailydialog
"Yes , I do . Blue Cross .",neutral,dailydialog_167,0,Speaker,dailydialog
All the fruit are pretty fresh here .,neutral,dailydialog_168,0,Speaker,dailydialog
"Yes , we have a very pleasant time . Thank you for being so nice for us .",joy,dailydialog_169,0,Speaker,dailydialog
It sounds like you weren't expecting that .,neutral,dailydialog_170,0,Speaker,dailydialog
"OK , that's perfect , 70 % is excellent , it'll be a big help . Thanks .",joy,dailydialog_171,0,Speaker,dailydialog
You can get that type of apartment for around fifteen hundred dollars a month .,neutral,dailydialog_172,0,Speaker,dailydialog
sure . Here's a brochure about out English classes that meet in the evenings .,neutral,dailydialog_173,0,Speaker,dailydialog
"If you are free , maybe you can get having for my birthday party , it should be fun .",joy,dailydialog_174,0,Speaker,dailydialog
OK . There is one on Wednesday .,neutral,dailydialog_175,0,Speaker,dailydialog
No idea .,neutral,dailydialog_176,0,Speaker,dailydialog
It's too high . I can't reach it . Could you help me ?,neutral,dailydialog_177,0,Speaker,dailydialog
What number are you trying to dial ?,neutral,dailydialog_178,0,Speaker,dailydialog
Eight dollars fifty a week excluding laundry .,neutral,dailydialog_179,0,Speaker,dailydialog
"Yes , and I have already gone through the safety inspection .",neutral,dailydialog_180,0,Speaker,dailydialog
I am glad you like it . Welcome next time .,joy,dailydialog_181,0,Speaker,dailydialog
"Uh , actually , I've gone twice this week .",joy,dailydialog_182,0,Speaker,dailydialog
"In a word , dressing and appearance are indeed important , but it should never be all .",neutral,dailydialog_183,0,Speaker,dailydialog
"Sure ! And without any conversion process or loss of quality ! You quickly find , cut , and record video segments and create slide shows . Some camcorders even offer editing software for adding titles and special effects .",joy,dailydialog_184,0,Speaker,dailydialog
"Hi , sir . Could you tell me where the Hilton Hotel is ?",neutral,dailydialog_185,0,Speaker,dailydialog
How did Jim get the money ?,neutral,dailydialog_186,0,Speaker,dailydialog
"Yes , I will have a cup of coffee .",joy,dailydialog_187,0,Speaker,dailydialog
Good idea . That will help us to warm up .,joy,dailydialog_188,0,Speaker,dailydialog
"Yeah , it'll make a hit , I think.When will it be on , do you know ?",neutral,dailydialog_189,0,Speaker,dailydialog
"Thank you very much , Your Honor .",joy,dailydialog_190,0,Speaker,dailydialog
That would be me !,neutral,dailydialog_191,0,Speaker,dailydialog
"Well , I heard that naughty boys and girls get coal in their stockings , so I thought I'd be nice and make Santa cookies . I even left out some milk . I heard someone in the kitchen eating the cookies , so I came downstairs !",neutral,dailydialog_192,0,Speaker,dailydialog
A funny thing happened to me the other day .,joy,dailydialog_193,0,Speaker,dailydialog
"Well , an important part of the duties of a secretary , I think , is to do well the preparation work for the meeting .",neutral,dailydialog_194,0,Speaker,dailydialog
I really enjoyed that film ! What about you ?,joy,dailydialog_195,0,Speaker,dailydialog
It certainly didn't arrive here that way .,anger,dailydialog_196,0,Speaker,dailydialog
"Yeah , he , with his fleet , came across the Indian Ocean , and arrived at the east coast of Africa .",neutral,dailydialog_197,0,Speaker,dailydialog
The problem is that I find all of them are full of fun . I just don ’ t know what to do first .,neutral,dailydialog_198,0,Speaker,dailydialog
Sometimes they are too independent .,neutral,dailydialog_199,0,Speaker,dailydialog
I don't think so . Did you ever go and look at your stamp ?,neutral,dailydialog_200,0,Speaker,dailydialog
"Got it , Mom .",neutral,dailydialog_201,0,Speaker,dailydialog
"Thank you . If you have any problems , just call .",joy,dailydialog_202,0,Speaker,dailydialog
The pipe has been leaking for a couple days .,neutral,dailydialog_203,0,Speaker,dailydialog
Please look at the sky.Don ' t you see the dark clouds ? It's going to rain soon .,neutral,dailydialog_204,0,Speaker,dailydialog
"Do you like a job in a library , working with books ?",neutral,dailydialog_205,0,Speaker,dailydialog
What time does the next showing of Forrest Gump begin ?,neutral,dailydialog_206,0,Speaker,dailydialog
I was in the bank at the time of the robbery .,neutral,dailydialog_207,0,Speaker,dailydialog
"Wow , that would be very convenient . How much is the rent ?",joy,dailydialog_208,0,Speaker,dailydialog
Have you been used to your new life ?,neutral,dailydialog_209,0,Speaker,dailydialog
Have you ever made any plan for your future ?,neutral,dailydialog_210,0,Speaker,dailydialog
You're kidding !,surprise,dailydialog_211,0,Speaker,dailydialog
Oh I see . That ’ s nice . Did you meet your husband at work ?,neutral,dailydialog_212,0,Speaker,dailydialog
I must say I think that is very odd . Are you absolutely certain it was her ?,neutral,dailydialog_213,0,Speaker,dailydialog
Really ? I hope I can have a chance to taste it . Don't forget to tell me .,surprise,dailydialog_214,0,Speaker,dailydialog
Good habit . How long does it take ?,joy,dailydialog_215,0,Speaker,dailydialog
I need the number for John Reese ’ s office .,neutral,dailydialog_216,0,Speaker,dailydialog
Thank you very much for your cooperation .,joy,dailydialog_217,0,Speaker,dailydialog
That ’ s not a big problem . There are many small schools for adults like you who can study to be certified .,joy,dailydialog_218,0,Speaker,dailydialog
OK ! I'll show you how my mom did it .,joy,dailydialog_219,0,Speaker,dailydialog
"We could contact alumni who work for large , well-know companies . They might be able to arrange cheap advertising in exchange for some free tickets .",neutral,dailydialog_220,0,Speaker,dailydialog
How nice it is here,joy,dailydialog_221,0,Speaker,dailydialog
We are going to try the new one that opened up on 17th Street .,neutral,dailydialog_222,0,Speaker,dailydialog
Do you like watching the Winter Olympic Games ?,neutral,dailydialog_223,0,Speaker,dailydialog
"I not only passed my test , but I aced it ! I'm so happy !",joy,dailydialog_224,0,Speaker,dailydialog
Shall we keep pur friendship ?,sadness,dailydialog_225,0,Speaker,dailydialog
"Liquor is considered a luxury item.And also , it is considered as something that isn't very healthy.So if people want to buy it , the government thinks it has the right to tax it .",neutral,dailydialog_226,0,Speaker,dailydialog
"Of course , what can I do for you ?",joy,dailydialog_227,0,Speaker,dailydialog
You are deadly right .,neutral,dailydialog_228,0,Speaker,dailydialog
"Oh , what a pleasant surprise ! Don't you remember me ?",surprise,dailydialog_229,0,Speaker,dailydialog
It's my pleasure . We hope you'll visit Beijing again .,joy,dailydialog_230,0,Speaker,dailydialog
I'm really interested . Tell me about them .,neutral,dailydialog_231,0,Speaker,dailydialog
"Oh , I ’ m crazy about them .",joy,dailydialog_232,0,Speaker,dailydialog
"They were grown without using any chemicals that are harmful to our health . And yes , John , we need organic carrots ...",neutral,dailydialog_233,0,Speaker,dailydialog
Good ideas .,joy,dailydialog_234,0,Speaker,dailydialog
All right . Here are the traveler's checks and money .,neutral,dailydialog_235,0,Speaker,dailydialog
But that is terrible ! I am only here for one night !,anger,dailydialog_236,0,Speaker,dailydialog
That ’ s great . Can you do it anywhere ?,joy,dailydialog_237,0,Speaker,dailydialog
Will there be any late charge ?,neutral,dailydialog_238,0,Speaker,dailydialog
That's cool . Care for a little quiz on that ?,joy,dailydialog_239,0,Speaker,dailydialog
"thanks , but I'll stick with some jasmine tea . I'm trying to watch my diet .",joy,dailydialog_240,0,Speaker,dailydialog
Mmm ...,neutral,dailydialog_241,0,Speaker,dailydialog
"Darn ! Oh , well . I guess it ’ s just not my day . Thanks anyway .",anger,dailydialog_242,0,Speaker,dailydialog
"Jim , I heard you ’ Ve bought a new computer .",joy,dailydialog_243,0,Speaker,dailydialog
Maybe we all should learn something from him .,joy,dailydialog_244,0,Speaker,dailydialog
That ’ s too bad . Is there a desk in the living room then ?,neutral,dailydialog_245,0,Speaker,dailydialog
Just alright ? ! ? She's hot !,joy,dailydialog_246,0,Speaker,dailydialog
Let me go to the back and get them . I'll be right back .,joy,dailydialog_247,0,Speaker,dailydialog
Exactly . Having Jo as my friend is one of the best things that's ever happened to me .,joy,dailydialog_248,0,Speaker,dailydialog
And also to frighten away evil spirits .,neutral,dailydialog_249,0,Speaker,dailydialog
Our house is too small . We had better have a big one .,neutral,dailydialog_250,0,Speaker,dailydialog
It depends on the weather .,neutral,dailydialog_251,0,Speaker,dailydialog
"Yes , the same as ever , thanks . What about you ?",joy,dailydialog_252,0,Speaker,dailydialog
You like Panda Express ?,neutral,dailydialog_253,0,Speaker,dailydialog
I ’ m so happy for you !,joy,dailydialog_254,0,Speaker,dailydialog
"I know , I know . Kill , or die , right ?",neutral,dailydialog_255,0,Speaker,dailydialog
Thank you so much . I appreciate your help .,joy,dailydialog_256,0,Speaker,dailydialog
How many chapters does the book have ?,neutral,dailydialog_257,0,Speaker,dailydialog
I hope you enjoy your purchase . Good-bye .,joy,dailydialog_258,0,Speaker,dailydialog
"Sure . Let me ring this up for you at the register . If you would like , this can be gift-wrapped for free . Just take it to the customer service department .",neutral,dailydialog_259,0,Speaker,dailydialog
How about samba ?,joy,dailydialog_260,0,Speaker,dailydialog
Fine . It will be at my house . Do you know how to get there ?,joy,dailydialog_261,0,Speaker,dailydialog
I will explain the problem briefly . We found in the examination that 35 % of the goods have damaged .,neutral,dailydialog_262,0,Speaker,dailydialog
"What kind of room would you like , Ma ’ am ? We got single rooms , double rooms , standard rooms , suites and deluxe suites .",neutral,dailydialog_263,0,Speaker,dailydialog
My Goodness ! What a busy line so early in the morning ! Hello .,surprise,dailydialog_264,0,Speaker,dailydialog
You're looking very well .,neutral,dailydialog_265,0,Speaker,dailydialog
"Well , I heard that last year Vivian from accounting won a new car !",joy,dailydialog_266,0,Speaker,dailydialog
"Let me see . Well , I'd like onion soup . Thank you .",joy,dailydialog_267,0,Speaker,dailydialog
I'm sorry . What's your name again ?,joy,dailydialog_268,0,Speaker,dailydialog
"Oh , I don ’ t think he wants to . He wants to travel to several different countries around the world .",neutral,dailydialog_269,0,Speaker,dailydialog
"sure , I have a part-time job as a bartender .",neutral,dailydialog_270,0,Speaker,dailydialog
That's easy . A girl at her age must like beautiful ornaments . How about a hair pin ?,neutral,dailydialog_271,0,Speaker,dailydialog
I'd like to buy a skirt .,neutral,dailydialog_272,0,Speaker,dailydialog
That's very clear . I think I can find my way now.Thank you .,joy,dailydialog_273,0,Speaker,dailydialog
"Thank you very much , that's kind of you .",joy,dailydialog_274,0,Speaker,dailydialog
Sure thing . Might there by anything else ?,neutral,dailydialog_275,0,Speaker,dailydialog
"It's business , Dave .",neutral,dailydialog_276,0,Speaker,dailydialog
I'm afraid you are beginning to look a little overweight . You really need to stop smoking . That's the main reason you're unhealthy .,fear,dailydialog_277,0,Speaker,dailydialog
Should I clean the windshield for you ?,neutral,dailydialog_278,0,Speaker,dailydialog
I'll take care of the order .,neutral,dailydialog_279,0,Speaker,dailydialog
"Oh , What a cool job ! How long have you worked there ?",neutral,dailydialog_280,0,Speaker,dailydialog
I couldn ’ t agree more . That ’ s an ideal place for a vacation .,joy,dailydialog_281,0,Speaker,dailydialog
"I'm trying to send the instruction book by E-mail , but I failed many , many times . And there is something wrong with the net maybe . It's so slow .",neutral,dailydialog_282,0,Speaker,dailydialog
Sure . As many as you want .,joy,dailydialog_283,0,Speaker,dailydialog
No doubt about it . Shopping online will get more and more popular . It's a real revolution about people's consuming habits .,neutral,dailydialog_284,0,Speaker,dailydialog
Should each of us write separately ?,neutral,dailydialog_285,0,Speaker,dailydialog
Thank you for saying that .,joy,dailydialog_286,0,Speaker,dailydialog
"Yes , go straight along Beijing Road and turn right .",neutral,dailydialog_287,0,Speaker,dailydialog
Do you have a pen that I can use ?,neutral,dailydialog_288,0,Speaker,dailydialog
Cheer !,joy,dailydialog_289,0,Speaker,dailydialog
"Well , not in so many words . But I know that productivity is a big issue for him . Oh , he said the usual things like “ Keep up the good work ” and “ Thanks for your hard work , ” but he also said that he's thinking about bringing some employees into my department . That , to me , means he's not satisfied with what I've been doing .",sadness,dailydialog_290,0,Speaker,dailydialog
That was a great dinner . I didn't know that you knew how yo cook .,joy,dailydialog_291,0,Speaker,dailydialog
"We could move your luggage while you are out , but could you take any valuables with you ? You may pick up your new room key No . 216 from the Front Desk when you return .",neutral,dailydialog_292,0,Speaker,dailydialog
This is Mary speaking . Who is that ?,neutral,dailydialog_293,0,Speaker,dailydialog
The band is pretty good . How do you like the music ?,joy,dailydialog_294,0,Speaker,dailydialog
What's your weight .,neutral,dailydialog_295,0,Speaker,dailydialog
